name,type,aliases,metadata
"Aksa Akrilik Kimya Sanayii A.Ş.",company,"Aksa Akrilik Kimya Sanayii Anonim Şirketi|AKSA AKRİLİK KİMYA SANAYİİ ANONİM ŞİRKETİ|Aksa|AKSA",{"sicil_no":"100775","sector":"kimya"}
"T.C. Ziraat Bankası A.Ş.",company,"Ziraat Bankası|Ziraat",{"bank_code":"0010"}
"Türkiye İş Bankası A.Ş.",company,"İş Bankası|İşbank",{}
"Dünya Bankası",company,"World Bank",{}
"Merkezi Kayıt Kuruluşu A.Ş.",company,"MKK|Merkezi Kayıt Kuruluşu",{}
"Sermaye Piyasası Kurulu",organization,"SPK",{}
"Enerji Piyasası Düzenleme Kurulu",organization,"EPDK",{}
"Devlet Su İşleri",organization,"DSİ",{}
"Grand Hyatt İstanbul",company,"Grand Hyatt",{}
"Hakan Apak",person,,
"Sami Demirkıran",person,,
"Ali Keskin",person,,
"Şaban Danış",person,,
"Şimşek Coşkun",person,,
"Mevlüt Öztürk",person,,
"Mevlüt Güven",person,,
"Mevlüt Özcan",person,,
"Ramazan Öztürk",person,,
"Ramazan Kılıç",person,,
"Durmuş Ali Koca",person,,
"Hüseyin Can",person,,
"Asım Yıldırım",person,,
"Cengiz Civil",person,,
