name,type,aliases,metadata
Sermaye Piyasası Kurulu,organization,SPK|S.P.K.|Sermaye Piyasasi Kurulu|Capital Markets Board,"{""country"":""TR"",""sector"":""regulator"",""scope"":""capital_markets""}"
Bankacılık Düzenleme ve Denetleme Kurumu,organization,BDDK|Bankacilik Duzenleme ve Denetleme Kurumu|Banking Regulation and Supervision Agency,"{""country"":""TR"",""sector"":""regulator"",""scope"":""banking""}"
Türkiye Cumhuriyet Merkez Bankası,organization,TCMB|Merkez Bankası|Merkez Bankasi|TCMB|Central Bank of the Republic of Turkey|CBRT,"{""country"":""TR"",""sector"":""central_bank""}"
Borsa İstanbul A.Ş.,company,Borsa İstanbul|BIST|BİST|Istanbul Stock Exchange|IMKB|İMKB,"{""country"":""TR"",""sector"":""stock_exchange""}"
Merkezi Kayıt Kuruluşu A.Ş.,company,Merkezi Kayıt Kuruluşu|Merkezi Kayit Kurulusu|MKK|Central Securities Depository|CSD,"{""country"":""TR"",""sector"":""market_infrastructure""}"
Tasarruf Mevduatı Sigorta Fonu,organization,TMSF|Tasarruf Mevduati Sigorta Fonu|Savings Deposit Insurance Fund,"{""country"":""TR"",""sector"":""regulator"",""scope"":""deposit_insurance""}"
Kamuyu Aydınlatma Platformu,organization,KAP|Kamuyu Aydinlatma Platformu|Public Disclosure Platform,"{""country"":""TR"",""sector"":""market_infrastructure""}"
Türkiye Ticaret Sicili Gazetesi,organization,TTSG|Turkiye Ticaret Sicili Gazetesi|Turkish Trade Registry Gazette,"{""country"":""TR"",""type"":""publication""}"
Türk Ticaret Kanunu,organization,TTK|Turk Ticaret Kanunu|Turkish Commercial Code,"{""country"":""TR"",""type"":""legislation""}"
Hazine ve Maliye Bakanlığı,organization,Hazine ve Maliye Bakanligi|Maliye Bakanlığı|Hazine Bakanlığı|Ministry of Treasury and Finance,"{""country"":""TR"",""sector"":""government""}"
Sanayi ve Teknoloji Bakanlığı,organization,Sanayi ve Teknoloji Bakanligi|Sanayi Bakanlığı|Ministry of Industry and Technology,"{""country"":""TR"",""sector"":""government""}"
Ticaret Bakanlığı,organization,Ticaret Bakanligi|Ministry of Trade,"{""country"":""TR"",""sector"":""government""}"
Çalışma ve Sosyal Güvenlik Bakanlığı,organization,Calisma ve Sosyal Guvenlik Bakanligi|Çalışma Bakanlığı|Ministry of Labour and Social Security,"{""country"":""TR"",""sector"":""government""}"
Devlet Su İşleri,organization,DSİ|DSI|Devlet Su Isleri|State Hydraulic Works,"{""country"":""TR"",""sector"":""government""}"
Tarım ve Kırsal Kalkınmayı Destekleme Kurumu,organization,TKDK|Tarim ve Kirsal Kalkinmayi Destekleme Kurumu|Agriculture and Rural Development Support Institution,"{""country"":""TR"",""sector"":""government""}"
Batı Akdeniz Kalkınma Ajansı,organization,BAKA|Bati Akdeniz Kalkinma Ajansi|Western Mediterranean Development Agency,"{""country"":""TR"",""sector"":""development_agency""}"
Türkiye İhracat Kredi Bankası A.Ş.,company,Türk Eximbank|Turk Eximbank|Eximbank|Export Credit Bank of Turkey,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0098""}"
Türkiye Kalkınma ve Yatırım Bankası A.Ş.,company,TKYB|Türkiye Kalkınma Bankası|Turkiye Kalkinma ve Yatirim Bankasi|Development and Investment Bank of Turkey,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0099""}"
Türkiye İş Bankası A.Ş.,company,İş Bankası|Is Bankasi|İşbank|Isbank|İŞBANK,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0064""}"
Türk Ekonomi Bankası A.Ş.,company,TEB|Turk Ekonomi Bankasi,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0032""}"
T.C. Ziraat Bankası A.Ş.,company,Ziraat Bankası|Ziraat|TC Ziraat Bankasi|T.C. Ziraat,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0010""}"
Türkiye Halk Bankası A.Ş.,company,Halkbank|Halk Bankası|Halk Bankasi,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0012""}"
Türkiye Vakıflar Bankası T.A.O.,company,VakıfBank|Vakifbank|Vakıflar Bankası|VAKIFBANK,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0015""}"
Yapı ve Kredi Bankası A.Ş.,company,Yapı Kredi|Yapi Kredi|YapıKredi|YKB|YAPI KREDI,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0067""}"
Akbank T.A.Ş.,company,Akbank|AKBNK,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0046""}"
QNB Finansbank A.Ş.,company,Finansbank|QNB Finansbank|FINBN,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0111""}"
Garanti BBVA,company,Türkiye Garanti Bankası A.Ş.|Garanti Bankası|Garanti Bankasi|Garanti|GARAN,"{""country"":""TR"",""sector"":""bank"",""bank_code"":""0062""}"
Avrupa Birliği,organization,AB|Avrupa Birligi|European Union|EU,"{""scope"":""international""}"
Dünya Bankası,organization,Dunya Bankasi|World Bank|IBRD|WB,"{""scope"":""international""}"
Uluslararası Para Fonu,organization,IMF|International Monetary Fund|Uluslararasi Para Fonu,"{""scope"":""international""}"
Avrupa İmar ve Kalkınma Bankası,organization,EBRD|European Bank for Reconstruction and Development|Avrupa Imar ve Kalkinma Bankasi,"{""scope"":""international""}"
Birleşmiş Milletler,organization,BM|United Nations|UN|Birlesmis Milletler,"{""scope"":""international""}"
Türkiye Cumhuriyeti,organization,T.C.|TC|Turkiye Cumhuriyeti|Republic of Turkey|Republic of Türkiye|Türkiye,"{""country"":""TR"",""type"":""sovereign""}"
KPMG,company,KPMG International|KPMG Türkiye|KPMG Turkiye,"{""sector"":""auditor"",""tier"":""big4""}"
Ernst & Young,company,EY|Ernst Young|Ernst&Young|E&Y,"{""sector"":""auditor"",""tier"":""big4""}"
Deloitte,company,Deloitte Türkiye|Deloitte Turkiye|Deloitte Touche Tohmatsu,"{""sector"":""auditor"",""tier"":""big4""}"
